predicted_species,predicted_species_probs,sepal_length,sepal_width,petal_length,petal_width,species
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99936243080822584""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0006375685132824578""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""6.7849168090854245e-10""
  }]
}",5.2,4.1,1.5,0.1,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.9958155601185481""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0041843879558343434""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.192561752498376e-08""
  }]
}",5.1,3.8,1.9,0.4,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.54966743601580159""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.45014085487708566""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00019170910711285109""
  }]
}",6.3,2.5,4.9,1.5,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99906146744236357""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.00093852920961573223""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.3480206894046315e-09""
  }]
}",5.7,4.4,1.5,0.4,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.56978914573696227""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.43013138770620263""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""7.9466556835092943e-05""
  }]
}",6.0,2.2,5.0,1.5,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98832444392488128""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.011675515622247491""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""4.0452871220368525e-08""
  }]
}",5.0,3.3,1.4,0.2,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.70567053223453557""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.29363061583964911""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00069885192581529748""
  }]
}",6.9,3.1,4.9,1.5,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.9935502399307331""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0064497419134711582""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.8155795723603705e-08""
  }]
}",5.1,3.5,1.4,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.61684201178866094""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.38269710500242377""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00046088320891526046""
  }]
}",6.0,2.7,5.1,1.6,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.91061291428571023""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.057767810249299459""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.031619275464990257""
  }]
}",5.6,2.9,3.6,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98744132707388788""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.012558521656168485""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.5126994373312269e-07""
  }]
}",5.0,3.4,1.6,0.4,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99670774371055348""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0032922477074304422""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""8.5820161246408441e-09""
  }]
}",5.0,3.6,1.4,0.2,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.97666819649252457""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.022224253968164506""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0011075495393109104""
  }]
}",6.0,2.2,4.0,1.0,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.54941357001176461""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.45004040127951511""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00054602870872031751""
  }]
}",6.3,2.8,5.1,1.5,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.97940437196357277""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.020595568310753841""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.97256733984592e-08""
  }]
}",4.9,3.1,1.5,0.1,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.72596440189746336""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.27370842192183337""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00032717618070333862""
  }]
}",6.2,2.8,4.8,1.8,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.90808039090845""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.084229794817570272""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.0076898142739796546""
  }]
}",4.9,2.4,3.3,1.0,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99705904709756543""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.002940939519384139""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.3383050447040237e-08""
  }]
}",5.4,3.9,1.3,0.4,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99676673603048283""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0032332454038605878""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.8565656715135037e-08""
  }]
}",4.6,3.4,1.4,0.3,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.94964189051902459""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.050357801164550832""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.083164244982406e-07""
  }]
}",5.0,3.0,1.6,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.9781515842424342""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.021848354243546909""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""6.1514018944241151e-08""
  }]
}",4.8,3.0,1.4,0.1,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.9907403014634848""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0092596690181384975""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.9518376600917169e-08""
  }]
}",5.2,3.5,1.5,0.2,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.8989915410324314""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.088674449015980192""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0123340099515884""
  }]
}",5.6,2.7,4.2,1.3,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.88091833455094892""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.1190134448366959""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""6.8220612355188672e-05""
  }]
}",6.3,2.9,5.6,1.8,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.89053046625263066""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.10932480394616906""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00014472980120023746""
  }]
}",5.8,2.7,5.1,1.9,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.90844521599131522""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.0829586751972179""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0085961088114668276""
  }]
}",5.5,2.5,4.0,1.3,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.93529186070835668""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.057681641658908031""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0070264976327353307""
  }]
}",6.1,2.8,4.0,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.98444107871718667""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.015558885936243841""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.53465694314498e-08""
  }]
}",5.5,3.5,1.3,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.779490079656872""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.21958335781639454""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00092656252673338512""
  }]
}",5.9,3.0,5.1,1.8,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.987402743095229""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.012597218611387101""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.8293383924500712e-08""
  }]
}",5.2,3.4,1.4,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99643296273739579""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0035670241337279621""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.3128876178093155e-08""
  }]
}",4.4,3.2,1.3,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.84914353124410291""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.15076681658741417""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""8.9652168482814615e-05""
  }]
}",6.5,3.0,5.5,1.8,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.995452622651717""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.004545573363706033""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.8039845770010487e-06""
  }]
}",6.7,3.3,5.7,2.5,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.6282662370282287""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.36658815924028237""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0051456037314889409""
  }]
}",4.9,2.5,4.5,1.7,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.69362647759646967""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.30496553120890196""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0014079911946283756""
  }]
}",6.0,3.0,4.8,1.8,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.87208302736995813""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.11779118426124578""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.010125788368796138""
  }]
}",5.7,2.8,4.5,1.3,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.987770564806407""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.012226914932894734""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.5202606981868967e-06""
  }]
}",6.9,3.2,5.7,2.3,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.89731119448247731""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.099058206042112046""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00363059947541073""
  }]
}",5.5,2.3,4.0,1.3,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.91347065900067559""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.08647422174816953""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""5.5119251154783696e-05""
  }]
}",6.5,3.0,5.2,2.0,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.72307025309697814""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.2451613783595426""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.031768368543479177""
  }]
}",5.4,3.0,4.5,1.5,versicolor
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.72581807286400624""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.27415565572020661""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.6271415787223e-05""
  }]
}",7.2,3.0,5.8,1.6,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.76748037075242481""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.23239346092238108""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00012616832519407763""
  }]
}",6.3,2.7,4.9,1.8,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99092958986955215""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0090511846870349709""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""1.9225443412924389e-05""
  }]
}",6.3,3.4,5.6,2.4,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99141992566205417""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0085800431626429936""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.1175302870480311e-08""
  }]
}",5.0,3.4,1.5,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.96892413749515849""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.03107507224684149""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""7.902579999109728e-07""
  }]
}",5.1,3.3,1.7,0.5,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.9749745118538321""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.02502063072457196""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""4.857421596032091e-06""
  }]
}",6.4,2.8,5.6,2.1,virginica
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99548858709479471""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0045114038389704085""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""9.0662348104399974e-09""
  }]
}",4.3,3.0,1.1,0.1,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.99853674699413431""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0014632521950502686""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""8.10815419778908e-10""
  }]
}",7.7,2.6,6.9,2.3,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.93046714808878883""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.069530723250215518""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.1286609956284816e-06""
  }]
}",6.7,2.5,5.8,1.8,virginica
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.98037422093131765""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.019603467101537438""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""2.2311967145009021e-05""
  }]
}",6.4,3.2,5.3,2.3,virginica
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.969653906551981""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.022526647907600103""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.00781944554041893""
  }]
}",5.7,2.6,3.5,1.0,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.96482732832211626""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.025343804983989408""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0098288666938944058""
  }]
}",5.5,2.4,3.8,1.1,versicolor
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.88642124359273522""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.11064829895498327""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.002930457452281549""
  }]
}",6.7,3.1,4.4,1.4,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99169753534497651""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0083024277138306034""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.6941192828896723e-08""
  }]
}",4.4,3.0,1.3,0.2,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.904890477426964""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.072516791359085189""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.022592731213950838""
  }]
}",5.7,2.9,4.2,1.3,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.97940437196357277""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.020595568310753841""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.97256733984592e-08""
  }]
}",4.9,3.1,1.5,0.1,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99342009401246023""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0065798790506502048""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""2.6936889548414323e-08""
  }]
}",4.6,3.2,1.4,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.97940437196357277""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.020595568310753841""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""5.97256733984592e-08""
  }]
}",4.9,3.1,1.5,0.1,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.97122549424942139""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.028774376407501169""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.2934307736833083e-07""
  }]
}",5.4,3.4,1.7,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.989000479325543""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.01099948142104664""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.9253410367164529e-08""
  }]
}",5.1,3.4,1.5,0.2,setosa
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.99537499255837558""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.0046249702420232616""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""3.7199601091350509e-08""
  }]
}",5.4,3.9,1.7,0.4,setosa
versicolor,"{
  ""predicted_species_probs"": [{
    ""label"": ""versicolor"",
    ""prob"": ""0.9070855422603924""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""0.089390803313679629""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.0035236544259279229""
  }]
}",6.1,2.8,4.7,1.2,versicolor
setosa,"{
  ""predicted_species_probs"": [{
    ""label"": ""setosa"",
    ""prob"": ""0.96816989117634544""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.031829959577945155""
  }, {
    ""label"": ""virginica"",
    ""prob"": ""1.4924570946335674e-07""
  }]
}",4.9,3.0,1.4,0.2,setosa
virginica,"{
  ""predicted_species_probs"": [{
    ""label"": ""virginica"",
    ""prob"": ""0.89053046625263066""
  }, {
    ""label"": ""versicolor"",
    ""prob"": ""0.10932480394616906""
  }, {
    ""label"": ""setosa"",
    ""prob"": ""0.00014472980120023746""
  }]
}",5.8,2.7,5.1,1.9,virginica
